,Airbag,Allestimento,Assetto,Carrozzeria,Cilindrata,Classe emissioni,Climatizzazione,Colore,Colore Interni,Comfort,Consumo carburante (extraurbano),Consumo carburante misto,DataLink,Design Interni,Emissioni CO2 combinate,Guida all'acquisto,Id,In grado di viaggiare,Km,Luci,Marca,Metallizzato,Modello,Multimedia,Numero di porte,Posti,Programmi Usato Garantito,Proprietari precedenti,Scadenza Revisione,Sicurezza,Tipo veicolo,Tipologia,Title,Trasporto,Varie,drivetrain,engineCV,engineKW,fuelType,immatriculationMonth,immatriculationYear,price
1,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Berlina,4 cm³,,Climatizzatore manuale,Blu,,,,,/milano-alfa-romeo-147-1-9-mtj-120cv/127659985,,,,127659985,Sì,139000.0,,ALFA ROMEO,,147,,4 o 5 porte,5 posti,,,,,,Usato,Alfa Romeo 147 1.9 Mtj 120cv,,,manuale,119.0,88.0,Diesel,Marzo,2007.0,2200
2,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Berlina,4 cm³,Euro 5,Climatizzatore manuale,Grigio,,,4.2 l/100 km,5.1 l/100 km,/milano-audi-a3-2-0-tdi-3p-s-line/127396848,,,Audi A3 ,127396848,Sì,177000.0,,AUDI,,A3,,2 o 3 porte,5 posti,,,,,,Usato,Audi A3 2.0 Tdi 3p S-line,,,manuale,140.0,103.0,Diesel,Febbraio,2008.0,4600
3,Airbag anteriori e laterali e di altro tipo,1.9 JTDm 16V SW,,Station Wagon,1910 cm³,Euro 4,Climatizzatore manuale,,,"['Alzacristalli elettrico', 'Chiusura centralizzata']",4.8 l/100 km,6.1 l/100 km,/arese-alfa-romeo-159-1-9-jtdm-16v-sportwagon/130931154,,162.0 g/Km,,130931154,Sì,200000.0,,ALFA ROMEO,,159,,4 o 5 porte,5 posti,,,,"['ABS', 'Servosterzo']",,Usato,ALFA ROMEO 159 1.9 JTDm 16V Sportwagon,,['Filtro antiparticolato'],manuale,149.0,110.0,Diesel,Giugno,2007.0,2490
4,Airbag anteriori e laterali e di altro tipo,Altea 1.9 TDI Stylance,['Cerchi in lega'],Monovolume,1896 cm³,Euro 3,Climatizzatore manuale,Argento,Grigio,,4.5 l/100 km,5.4 l/100 km,/cologno-monzese-seat-altea-1-9-tdi-stylance/130765839,Stoffa,146.0 g/Km,,130765839,Sì,199575.0,,SEAT,Sì,Altea,,4 o 5 porte,5 posti,,,,,,Usato,SEAT Altea 1.9 TDI Stylance,,,manuale,104.0,77.0,Diesel,Aprile,2005.0,1990
5,Airbag anteriori e laterali e di altro tipo,-,,Berlina,4 cm³,Euro 4,Climatizzatore automatico,Grigio,,"['Alzacristalli elettrico', 'Antifurto immobilizer', 'Chiusura centralizzata', 'Cruise control']",3.6 l/100 km,4.1 l/100 km,/milano-toyota-yaris-1-4-d-4d-3-porte-sol/130898207,,,,130898207,Sì,132000.0,['Fendinebbia'],TOYOTA,,Yaris,"['Bluetooth', 'Computer di bordo', 'Interfaccia MP3', 'Kit vivavoce', 'Lettore CD', 'Sintonizzatore/Radio', 'Volante multifunzione']",2 o 3 porte,5 posti,,,,"['ABS', 'Servosterzo']",,Usato,Toyota Yaris 1.4 D-4d 3 Porte Sol,,,manuale,89.0,66.0,Diesel,Dicembre,2009.0,3800
6,,1.9 JTDm 16V SW,,Station Wagon,1910 cm³,Euro 4,,,,,4.8 l/100 km,6.1 l/100 km,/arese-alfa-romeo-159-1-9-jtdm-16v-sportwagon/130931088,,162.0 g/Km,,130931088,Sì,155000.0,,ALFA ROMEO,,159,,4 o 5 porte,5 posti,,,,,,Usato,ALFA ROMEO 159 1.9 JTDm 16V Sportwagon,,,manuale,149.0,110.0,Diesel,Marzo,2006.0,2890
7,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Cabriolet / Roadster,4 cm³,Euro 4,Climatizzatore automatico,Argento,,,4.2 l/100 km,4.7 l/100 km,/milano-citroen-c3-pluriel-1-4-hdi-70cv-exclusive/130302288,,,,130302288,Sì,119000.0,,CITROEN,,C3,,2 o 3 porte,4 posti,,,,,,Usato,Citroen C3 Pluriel 1.4 Hdi 70cv Exclusive,,,manuale,67.0,50.0,Diesel,Dicembre,2008.0,2700
8,Airbag anteriori e laterali e di altro tipo,428i xDrive Coupé Sport,['Cerchi in lega'],Altro,1997 cm³,Euro 6,Climatizzatore automatico,Grigio,Altro,,5.5 l/100 km,6.8 l/100 km,/milano-bmw-428-xdrive-coupe-sport/128072906,Pelle integrale,159.0 g/Km,,128072906,Sì,34000.0,,BMW,Sì,Serie 4,,2 o 3 porte,4 posti,,1,,,,Usato,BMW 428 i xDrive COUPE' SPORT,,,manuale,244.0,180.0,Benzina,Marzo,2014.0,25900
9,Airbag conducente,-,,Altro,1870 cm³,Euro 3,Climatizzatore manuale,Bianco,,"['Alzacristalli elettrico', 'Chiusura centralizzata']",6.5 l/100 km,7.4 l/100 km,/pieve-emanuele-nissan-primastar-v29-1-9-dci-100-pc-ta-furgone/130158255,,197.0 g/Km,,130158255,Sì,250000.0,,NISSAN,,Primastar,['Sintonizzatore/Radio'],4 o 5 porte,3 posti,,,,"['ABS', 'Servosterzo']",,Usato,NISSAN Primastar V29 1.9 dCi/100 PC-TA Furgone SE,,,manuale,100.0,74.0,Diesel,Ottobre,2006.0,2900
10,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Station Wagon,4 cm³,Euro 5,Climatizzatore automatico,Nero,,,5.3 l/100 km,6.1 l/100 km,/milano-subaru-legacy-2-0d-sw-trend-special-version/130199131,,,,130199131,Sì,139000.0,,SUBARU,Sì,Legacy,,4 o 5 porte,5 posti,,,,,,Usato,Subaru Legacy 2.0d Sw Trend Special Version,,,manuale,149.0,110.0,Diesel,Dicembre,2013.0,8300
11,Airbag anteriori e laterali,-,['Cerchi in lega'],Station Wagon,1995 cm³,Euro 5,Climatizzatore automatico,Argento,,,4.2 l/100 km,4.9 l/100 km,/cologno-monzese-bmw-320-serie-3-e90-e91-cat-touring-futura/130491462,,130 g/Km,,130491462,Sì,137000.0,,BMW,,Serie 3,,4 o 5 porte,5 posti,,,,,,Usato,BMW 320 Serie 3 (E90/E91) cat Touring Futura,,,automatico,176.0,130.0,Diesel,Giugno,2009.0,6990
12,Airbag anteriori e laterali,-,['Cerchi in lega'],Altro,1995 cm³,Euro 3,Climatizzatore automatico,Argento,Grigio,,5.3 l/100 km,6.2 l/100 km,/cornaredo-toyota-corolla-verso-2-0-16v-d-4d-sol/130841193,Stoffa,165 g/Km,,130841193,Sì,130000.0,,TOYOTA,Sì,Corolla,,4 o 5 porte,5 posti,,1,,,,Usato,Toyota Corolla Verso 2.0 16V D-4D Sol,,,manuale,115.0,85.0,Diesel,Maggio,2005.0,2800
13,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Berlina,4 cm³,,Climatizzatore automatico,Nero,,,,,/milano-audi-a3-sport-back-2-0-tdi-s-tronic-ambition-navi/127396840,,,Audi A3 ,127396840,Sì,178000.0,,AUDI,,A3,,4 o 5 porte,5 posti,,,,,,Usato,Audi A3 Sport Back 2.0 Tdi S Tronic Ambition navi,,,automatico,140.0,103.0,Diesel,Gennaio,2007.0,4600
14,Airbag anteriori e laterali e di altro tipo,-,['Cerchi in lega'],Berlina,2143 cm³,Euro 6,Climatizzatore automatico,Grigio,Nero,,4.4 l/100 km,5.1 l/100 km,/milano-mercedes-benz-220-d-4matic-auto-bt-avantgarde-navi-tetto/130041662,Pelle integrale,135.0 g/Km,,130041662,Sì,11538.0,,MERCEDES BENZ,Sì,Classe E,,4 o 5 porte,5 posti,,1,,,,Usato,MERCEDES-BENZ E 220 d 4Matic Auto BT Avantgarde *NAVI+TETTO+PELLE+LED*,,,automatico,169.0,125.0,Diesel,Aprile,2017.0,30490
15,Airbag anteriori e laterali e di altro tipo,Focus C-Max 1.6 TDCi 110CV Ghia DPF,['Cerchi in lega'],Monovolume,1560 cm³,Euro 4,Climatizzatore manuale,,,,4.1 l/100 km,4.9 l/100 km,/arese-ford-focus-c-max-1-6-tdci-110cv-ghia-dpf/131425077,,129.0 g/Km,,131425077,Sì,160000.0,,FORD,,Focus/Focus C-Max,,4 o 5 porte,5 posti,,,,,,Usato,FORD Focus C-Max 1.6 TDCi (110CV) Ghia DPF,,,manuale,108.0,80.0,Diesel,Novembre,2006.0,2490
16,Airbag anteriori e laterali e di altro tipo,A 200 Sport,['Cerchi in lega'],Berlina,1595 cm³,Euro 6,Climatizzatore manuale,Argento,Nero,,4.4 l/100 km,5.5 l/100 km,/robecco-sul-naviglio-mercedes-benz-200-automatic-sport/130403152,Pelle integrale,128.0 g/Km,Mercedes-Benz Classe A ,130403152,Sì,37450.0,,MERCEDES BENZ,Sì,Classe A,,4 o 5 porte,5 posti,,,,,,Usato,MERCEDES-BENZ A 200 Automatic Sport,,,automatico,156.0,115.0,Benzina,Settembre,2016.0,18890
